OFFICIAL_GENE_SYMBOL	Name	Species
TYW5	tRNA-yW synthesizing protein 5(tyw5)	Danio rerio
CHD6	chromodomain helicase DNA binding protein 6(chd6)	Danio rerio
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2(smarca2)	Danio rerio
AICDA	activation-induced cytidine deaminase(aicda)	Danio rerio
SIRT7	sirtuin 7(sirt7)	Danio rerio
CHD2	chromodomain helicase DNA binding protein 2(chd2)	Danio rerio
SETD2	SET domain containing 2(setd2)	Danio rerio
BRDT	bromodomain, testis-specific(brdt)	Danio rerio
CECR2	cat eye syndrome chromosome region, candidate 2(cecr2)	Danio rerio
CUL4A	cullin 4A(cul4a)	Danio rerio
EXOSC3	exosome component 3(exosc3)	Danio rerio
EXOSC2	exosome component 2(exosc2)	Danio rerio
EYA4	EYA transcriptional coactivator and phosphatase 4(eya4)	Danio rerio
WDR82	WD repeat domain 82(wdr82)	Danio rerio
MCRS1	microspherule protein 1(mcrs1)	Danio rerio
PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component(paf1)	Danio rerio
BRPF1	bromodomain and PHD finger containing, 1(brpf1)	Danio rerio
TDRKH	tudor and KH domain containing(tdrkh)	Danio rerio
ATAD2B	ATPase family, AAA domain containing 2B(atad2b)	Danio rerio
TLE2	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)(tle2)	Danio rerio
ZNF217	zinc finger protein 217(znf217)	Danio rerio
CDK9	cyclin-dependent kinase 9 (CDC2-related kinase)(cdk9)	Danio rerio
TONSL	tonsoku-like, DNA repair protein(tonsl)	Danio rerio
TRIM33	tripartite motif containing 33(trim33)	Danio rerio
NBN	nibrin(nbn)	Danio rerio
ING1	inhibitor of growth family, member 1(ing1)	Danio rerio
SFPQ	splicing factor proline/glutamine-rich(sfpq)	Danio rerio
PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1(pdp1)	Danio rerio
SCMH1	sex comb on midleg homolog 1 (Drosophila)(scmh1)	Danio rerio
ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E(anp32e)	Danio rerio
GATAD1	GATA zinc finger domain containing 1(gatad1)	Danio rerio
EXOSC7	exosome component 7(exosc7)	Danio rerio
FAM175B	family with sequence similarity 175, member B(fam175b)	Danio rerio
ATAD2	ATPase family, AAA domain containing 2(atad2)	Danio rerio
ELP3	elongator acetyltransferase complex subunit 3(elp3)	Danio rerio
TADA2B	transcriptional adaptor 2B(tada2b)	Danio rerio
INO80E	INO80 complex subunit E(ino80e)	Danio rerio
SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1(smarca1)	Danio rerio
PHIP	pleckstrin homology domain interacting protein(phip)	Danio rerio
APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1(apex1)	Danio rerio
L3MBTL2	l(3)mbt-like 2 (Drosophila)(l3mbtl2)	Danio rerio
ASXL2	additional sex combs like transcriptional regulator 2(asxl2)	Danio rerio
HINFP	histone H4 transcription factor(hinfp)	Danio rerio
USP16	ubiquitin specific peptidase 16(usp16)	Danio rerio
CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component(ctr9)	Danio rerio
CHEK1	checkpoint kinase 1(chek1)	Danio rerio
HDAC8	histone deacetylase 8(hdac8)	Danio rerio
BCOR	BCL6 corepressor(bcor)	Danio rerio
BRWD3	bromodomain and WD repeat domain containing 3(brwd3)	Danio rerio
ddb2	damage-specific DNA binding protein 2(ddb2)	Danio rerio
CDYL	chromodomain protein, Y-like(cdyl)	Danio rerio
KAT6A	K(lysine) acetyltransferase 6A(kat6a)	Danio rerio
MTA2	metastasis associated 1 family, member 2(mta2)	Danio rerio
PAGR1	PAXIP1 associated glutamate-rich protein 1(pagr1)	Danio rerio
JMJD6	jumonji domain containing 6(jmjd6)	Danio rerio
TADA1	transcriptional adaptor 1(tada1)	Danio rerio
UBR7	ubiquitin protein ligase E3 component n-recognin 7(ubr7)	Danio rerio
ELP4	elongator acetyltransferase complex subunit 4(elp4)	Danio rerio
RBBP5	retinoblastoma binding protein 5(rbbp5)	Danio rerio
L3MBTL1	l(3)mbt-like 1 (Drosophila)(l3mbtl1)	Danio rerio
SUPT6H	SPT6 homolog, histone chaperone(supt6h)	Danio rerio
RBBP4	retinoblastoma binding protein 4(rbbp4)	Danio rerio
GTF3C4	general transcription factor IIIC, polypeptide 4(gtf3c4)	Danio rerio
PBRM1	polybromo 1(pbrm1)	Danio rerio
RPS6KA4	ribosomal protein S6 kinase, polypeptide 4(rps6ka4)	Danio rerio
SIN3B	SIN3 transcription regulator family member B(sin3b)	Danio rerio
SF3B1	splicing factor 3b, subunit 1(sf3b1)	Danio rerio
LRWD1	leucine-rich repeats and WD repeat domain containing 1(lrwd1)	Danio rerio
ATN1	atrophin 1(atn1)	Danio rerio
USP3	ubiquitin specific peptidase 3(usp3)	Danio rerio
TAF12	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf12)	Danio rerio
MBIP	MAP3K12 binding inhibitory protein 1(mbip)	Danio rerio
RNF40	ring finger protein 40(rnf40)	Danio rerio
GLYR1	glyoxylate reductase 1 homolog (Arabidopsis)(glyr1)	Danio rerio
SIRT1	sirtuin 1(sirt1)	Danio rerio
SAP30L	sap30-like(sap30l)	Danio rerio
CREBBP	CREB binding protein(crebbp)	Danio rerio
BRD7	bromodomain containing 7(brd7)	Danio rerio
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(smarca5)	Danio rerio
ARID2	AT rich interactive domain 2 (ARID, RFX-like)(arid2)	Danio rerio
RAD54L	RAD54-like (S. cerevisiae)(rad54l)	Danio rerio
VRK1	vaccinia related kinase 1(vrk1)	Danio rerio
RNF20	ring finger protein 20, E3 ubiquitin protein ligase(rnf20)	Danio rerio
PARP1	poly (ADP-ribose) polymerase 1(parp1)	Danio rerio
RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)(rmi1)	Danio rerio
APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)(apbb1)	Danio rerio
GATAD2B	GATA zinc finger domain containing 2B(gatad2b)	Danio rerio
SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2(smarcc2)	Danio rerio
NEK9	NIMA related kinase 9(nek9)	Danio rerio
whsc1l1	Wolf-Hirschhorn syndrome candidate 1-like 1(whsc1l1)	Danio rerio
RPS6KA5	ribosomal protein S6 kinase, polypeptide 5(rps6ka5)	Danio rerio
PRDM8	PR domain containing 8(prdm8)	Danio rerio
TDRD3	tudor domain containing 3(tdrd3)	Danio rerio
CDK2	cyclin-dependent kinase 2(cdk2)	Danio rerio
CDC6	cell division cycle 6 homolog (S. cerevisiae)(cdc6)	Danio rerio
SUDS3	SDS3 homolog, SIN3A corepressor complex component(suds3)	Danio rerio
PHF1	PHD finger protein 1(phf1)	Danio rerio
