OFFICIAL_GENE_SYMBOL	Name	Species
EHMT2	euchromatic histone-lysine N-methyltransferase 2(ehmt2)	Danio rerio
PRKDC	protein kinase, DNA-activated, catalytic polypeptide(prkdc)	Danio rerio
PRKAG1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit(prkag1)	Danio rerio
PRDM13	PR domain containing 13(prdm13)	Danio rerio
PPP2CA	protein phosphatase 2, catalytic subunit, alpha isozyme(ppp2ca)	Danio rerio
SPEN	spen family transcriptional repressor(spen)	Danio rerio
MBD4	methyl-CpG binding domain protein 4(mbd4)	Danio rerio
UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)(ube2b)	Danio rerio
RUVBL2	RuvB-like AAA ATPase 2(ruvbl2)	Danio rerio
RUVBL1	RuvB-like AAA ATPase 1(ruvbl1)	Danio rerio
ZGPAT	zinc finger, CCCH-type with G patch domain(zgpat)	Danio rerio
KDM6A	lysine (K)-specific demethylase 6A(kdm6a)	Danio rerio
MAX	myc associated factor X(max)	Danio rerio
ZMYND8	zinc finger, MYND-type containing 8(zmynd8)	Danio rerio
prdm4	PR domain containing 4(prdm4)	Danio rerio
kat8	K(lysine) acetyltransferase 8(kat8)	Danio rerio
CBX4	chromobox homolog 4 (Pc class homolog, Drosophila)(cbx4)	Danio rerio
TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor(taf6l)	Danio rerio
sfmbt1	Scm-like with four mbt domains 1(sfmbt1)	Danio rerio
YEATS4	YEATS domain containing 4(yeats4)	Danio rerio
UIMC1	ubiquitin interaction motif containing 1(uimc1)	Danio rerio
KDM1A	lysine (K)-specific demethylase 1a(kdm1a)	Danio rerio
USP22	ubiquitin specific peptidase 22(usp22)	Danio rerio
aire	autoimmune regulator(aire)	Danio rerio
ARID4A	AT rich interactive domain 4A (RBP1-like)(arid4a)	Danio rerio
TET2	tet methylcytosine dioxygenase 2(tet2)	Danio rerio
CSNK2A1	casein kinase 2, alpha 1 polypeptide(csnk2a1)	Danio rerio
FBRSL1	fibrosin-like 1(fbrsl1)	Danio rerio
L3MBTL3	l(3)mbt-like 3 (Drosophila)(l3mbtl3)	Danio rerio
MTF2	metal response element binding transcription factor 2(mtf2)	Danio rerio
CUL2	cullin 2(cul2)	Danio rerio
RNF8	ring finger protein 8, E3 ubiquitin protein ligase(rnf8)	Danio rerio
SCML2	sex comb on midleg-like 2 (Drosophila)(scml2)	Danio rerio
CHD3	chromodomain helicase DNA binding protein 3(chd3)	Danio rerio
DNAJC2	DnaJ (Hsp40) homolog, subfamily C, member 2(dnajc2)	Danio rerio
SHPRH	SNF2 histone linker PHD RING helicase(shprh)	Danio rerio
CDK5	cyclin-dependent kinase 5(cdk5)	Danio rerio
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit(ezh2)	Danio rerio
YAF2	YY1 associated factor 2(yaf2)	Danio rerio
NASP	nuclear autoantigenic sperm protein (histone-binding)(nasp)	Danio rerio
FOXA1	forkhead box A1(foxa1)	Danio rerio
UBE2T	ubiquitin-conjugating enzyme E2T (putative)(ube2t)	Danio rerio
TOP2B	topoisomerase (DNA) II beta(top2b)	Danio rerio
CTBP1	C-terminal binding protein 1(ctbp1)	Danio rerio
SATB2	SATB homeobox 2(satb2)	Danio rerio
PRKCA	protein kinase C, alpha(prkca)	Danio rerio
DEK	DEK proto-oncogene(dek)	Danio rerio
TP53	tumor protein p53(tp53)	Danio rerio
DR1	down-regulator of transcription 1(dr1)	Danio rerio
